City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,nikolayevsk-on-amure,-38.2667,141.9667,63.79,76,100,16.82,AU,1702525744
273,nikolayevsk-on-amure,-2.6741,141.3028,83.48,84,91,7.85,PG,1702525753
274,nikolayevsk-on-amure,-35.3333,-72.4167,55.17,73,28,13.15,CL,1702526317
275,nikolayevsk-on-amure,29.82,-5.72,54.43,32,0,2.24,MA,1702525852
276,nikolayevsk-on-amure,59.0556,80.8572,-3.03,99,95,5.99,RU,1702525896
277,nikolayevsk-on-amure,59.3997,27.7547,19.76,96,76,6.31,EE,1702526321
278,nikolayevsk-on-amure,28.3667,129.4833,74.32,68,46,9.91,JP,1702525862
279,nikolayevsk-on-amure,36.1569,37.7078,48.63,64,2,7.38,SY,1702526323
280,nikolayevsk-on-amure,-12.1356,44.4317,81.66,74,98,4.45,KM,1702525910
281,nikolayevsk-on-amure,-30.3167,149.7833,99.52,30,34,4.0,AU,1702526326
282,nikolayevsk-on-amure,19.9,86.1167,73.8,50,100,6.73,IN,1702526327
283,nikolayevsk-on-amure,-47.7503,-65.8938,55.9,63,88,19.93,AR,1702526328
284,nikolayevsk-on-amure,63.7119,66.6722,5.0,94,100,10.0,RU,1702526329
285,nikolayevsk-on-amure,69.4865,88.3972,-11.99,99,100,11.05,RU,1702525766
286,nikolayevsk-on-amure,34.1628,113.4639,31.98,93,100,11.88,CN,1702526331
287,nikolayevsk-on-amure,31.6546,-106.3033,59.49,63,0,13.0,US,1702526324
288,nikolayevsk-on-amure,-21.1333,-175.2,82.74,74,75,13.8,TO,1702525921
289,nikolayevsk-on-amure,-25.3,45.4833,80.62,76,51,5.21,MG,1702525786
290,nikolayevsk-on-amure,24.6719,102.1613,59.52,85,99,4.05,CN,1702526336
291,nikolayevsk-on-amure,31.4638,-100.437,49.53,87,97,8.01,US,1702526337
292,nikolayevsk-on-amure,-5.1989,-35.4608,78.15,71,0,13.06,BR,1702525781
293,nikolayevsk-on-amure,-24.8667,113.6333,88.09,39,0,16.51,AU,1702525788
294,nikolayevsk-on-amure,-6.8367,-79.9342,71.89,83,0,16.11,PE,1702526340
295,nikolayevsk-on-amure,-41.516,173.9528,64.53,64,77,5.01,NZ,1702526341
296,nikolayevsk-on-amure,-5.1206,-60.3797,75.06,97,68,2.06,BR,1702525904
297,nikolayevsk-on-amure,-34.1831,22.146,62.53,80,100,12.21,ZA,1702525747
298,nikolayevsk-on-amure,-15.2119,-75.1103,60.49,85,24,8.57,PE,1702525768
299,nikolayevsk-on-amure,31.2333,130.65,70.27,67,27,12.82,JP,1702525937
300,nikolayevsk-on-amure,56.2501,-117.286,43.11,56,75,19.57,CA,1702525938
301,nikolayevsk-on-amure,52.2667,79.1667,-4.67,70,98,8.23,RU,1702525779
302,nikolayevsk-on-amure,-45.8742,170.5036,56.8,66,87,5.99,NZ,1702525678
